Date,Station,Code,Max_Temp_C,Max_Depart,Min_Temp_C,Min_Depart,Humidity_%,Lat,Lon
2024-01-05,Bhuj,42634.0,26.9,0.0,11.2,1.0,20.0,23.25,69.6667
2024-01-05,Kandla,42639.0,27.4,2.0,14.0,0.0,39.0,23.0,70.2167
2024-01-05,Ahmedabad,42647.0,25.5,-3.0,13.8,2.0,46.0,23.0333,72.5833
2024-01-05,Gandhinagar,42654.0,25.4,,12.0,,43.0,23.1667,72.5833
2024-01-05,Banswada,42655.0,,,,,,23.55,74.45
2024-01-05,Ujjain,42662.0,19.0,-6.0,15.5,7.0,88.0,23.1833,75.7833
2024-01-05,Bhopal-Arera Hills,42667.0,16.7,-8.0,14.1,4.0,96.0,23.2833,77.35
2024-01-05,Sagar,42671.0,16.6,-7.0,11.7,1.0,94.0,23.85,78.75
2024-01-05,Jabalpur,42675.0,23.6,0.0,15.6,6.0,74.0,23.0167,79.95
2024-01-05,Umaria,42679.0,25.2,1.0,15.9,9.0,70.0,23.5333,80.8833
2024-01-05,Ambikapur,42693.0,27.6,6.0,13.4,5.0,54.0,23.1667,83.0167
2024-01-05,Ranchi,42701.0,24.6,1.0,13.6,5.0,59.0,23.3167,85.3167
2024-01-05,Asansol,42704.0,25.8,1.0,13.9,1.0,65.0,23.6667,86.95
2024-01-05,Bankura,42707.0,25.7,1.0,12.5,1.0,69.0,23.2333,87.0667
2024-01-05,Sriniketan,42708.0,24.6,0.0,11.5,0.0,67.0,23.65,87.7
2024-01-05,Burdwan,42709.0,25.5,1.0,13.2,1.0,81.0,23.2333,87.85
2024-01-05,Krishnanagar,42711.0,23.4,-1.0,10.0,-2.0,60.0,23.4,88.5167
2024-01-05,Agartala,42724.0,20.8,-5.0,13.1,1.0,96.0,23.8333,91.2667
2024-01-05,Aizwal,42726.0,24.7,,12.7,,92.0,23.7333,92.7333
2024-01-05,Aizwal-Lengpui,42727.0,24.7,,12.7,,92.0,23.8,92.6167
2024-01-05,Okha,42730.0,24.4,0.0,19.5,0.0,58.0,22.4833,69.1167
2024-01-05,Dwarka,42731.0,27.6,1.0,15.4,-1.0,37.0,22.3667,69.0833
2024-01-05,Rajkot,42737.0,28.9,1.0,10.4,-3.0,28.0,22.3,70.7833
2024-01-05,Surendranagar,42740.0,27.8,,12.7,,43.0,22.7333,71.6
2024-01-05,Baroda,42748.0,26.2,-3.0,14.6,1.0,67.0,22.3,73.1833
2024-01-05,Dhar,42752.0,20.0,-6.0,13.2,3.0,90.0,22.6,75.3
2024-01-05,Indore,42754.0,19.6,-6.0,15.0,5.0,89.0,22.7167,75.8
2024-01-05,Pachmarhi,42767.0,19.8,-1.0,11.4,5.0,80.0,22.4667,78.4333
2024-01-05,Seoni,42771.0,25.2,0.0,14.4,2.0,75.0,22.0833,79.55
2024-01-05,Mandla,42776.0,26.5,1.0,12.8,5.0,69.0,22.5833,80.3667
2024-01-05,Pendra,42779.0,26.5,3.0,13.8,4.0,55.0,22.7667,81.9
2024-01-05,Bilaspur,42782.0,28.0,,15.8,4.0,61.0,22.0833,82.15
2024-01-05,Sundergarh,42792.0,27.7,1.0,14.2,6.0,73.0,22.0167,84.0
2024-01-05,Rourkela,42793.0,26.8,,13.6,,62.0,22.2167,84.8833
2024-01-05,Chaibasa,42795.0,,,12.2,2.0,,22.55,85.8167
2024-01-05,Jamshedpur,42798.0,27.2,2.0,14.4,5.0,67.0,22.8167,86.1833
2024-01-05,Midnapore,42803.0,25.6,1.0,15.3,2.0,63.0,22.4167,87.3167
2024-01-05,Kolkata-Howrah,42805.0,25.5,2.0,,,66.0,22.5833,88.25
2024-01-05,Kolkata-Alipore,42807.0,25.0,0.0,15.9,2.0,69.0,22.5333,88.3333
2024-01-05,Kolkata-Dum Dum,42809.0,25.7,1.0,14.5,2.0,66.0,22.65,88.45
2024-01-05,Diamond Harbour,42811.0,27.3,2.0,15.7,2.0,79.0,22.1833,88.2
2024-01-05,Kolkata-Salt Lake,42816.0,26.7,,15.8,,68.0,22.5667,88.4333
2024-01-05,Porbandar,42830.0,29.6,1.0,12.6,-2.0,26.0,21.65,69.6667
2024-01-05,Amreli,42834.0,28.0,-1.0,11.4,0.0,20.0,21.6,71.2167
2024-01-05,Bhavnagar,42838.0,26.0,-2.0,13.9,0.0,42.0,21.75,72.1833
2024-01-05,Surat,42840.0,28.0,-3.0,16.4,1.0,67.0,21.2,72.8333
2024-01-05,Jalgaon,42851.0,29.0,0.0,17.0,5.0,57.0,21.05,75.5667
2024-01-05,Khandwa,42855.0,26.1,-2.0,14.4,4.0,73.0,21.8333,76.3667
2024-01-05,Betul,42860.0,25.2,-1.0,14.5,5.0,56.0,21.8667,77.9333
2024-01-05,Nagpur-Sonegaon Airport,42867.0,27.0,0.0,15.5,3.0,68.0,21.1,79.05
2024-01-05,Gondia,42871.0,27.8,0.0,14.8,2.0,58.0,21.4667,80.2
2024-01-05,Raipur-Mana,42872.0,27.9,1.0,15.4,3.0,46.0,21.1667,81.7333
2024-01-05,Raipur-Lalpur,42874.0,28.4,1.0,16.5,3.0,55.0,21.2167,81.6667
2024-01-05,Durg,42876.0,29.4,2.0,14.0,1.0,49.0,21.1833,81.2833
2024-01-05,Dhenkanal,42881.0,27.6,,14.7,,70.0,20.65,85.5833
2024-01-05,Sonepur,42882.0,28.5,0.0,13.9,0.0,61.0,20.85,83.8833
2024-01-05,Sambalpur,42883.0,27.6,1.0,15.4,5.0,74.0,21.4667,83.9667
2024-01-05,Jharsuguda,42886.0,28.3,1.0,13.6,2.0,63.0,21.9167,84.0833
2024-01-05,Keonjhargarh,42891.0,27.0,2.0,10.9,0.0,68.0,21.6167,85.5833
2024-01-05,Baripada,42894.0,26.0,1.0,,0.0,82.0,21.9333,86.7667
2024-01-05,Balasore,42895.0,27.6,2.0,16.1,3.0,74.0,21.5167,86.9333
2024-01-05,Digha,42901.0,27.0,2.0,14.8,1.0,73.0,21.6667,87.5333
